수제화,NS01,ZNZ,,,,
수탉,NS02,ZNZ,,,,
술기운,NS02,ZNZ,,,,
스리디,NS01,ZNZ,,,,
스스로,NS01,ZNZ,,,,
스티로폼,NS02,ZNZ,,,,
슬래그,NS01,ZNZ,,,,
시구,NS01,ZNZ,,,,
시김새,NS01,ZNZ,,,,
시냅스,NS01,ZNZ,,,,
시냇물,NS03,ZNZ,,,,
시시각각,NS02,ZNZ,,,,
시에이,NS01,ZNZ,,,,
시월,NS03,ZNZ,,,,
시형,NS02,ZNZ,,,,
식민지적,NS02,ZNZ,,,,
식자율,NS03,ZNZ,,,,
식장,NS02,ZNZ,,,,
신노인,NS02,ZNZ,,,,
신민족주의,NS01,ZNZ,,,,
신적,NS02,ZNZ,,,,
신주,NS01,ZNZ,,,,
신중산층,NS02,ZNZ,,,,
신학교,NS01,ZNZ,,,,
실수담,NS02,ZNZ,,,,
실학자,NS01,ZNZ,,,,
심중,NS02,ZNZ,,,,
씹,NS02,ZNZ,,,,
씹새,NS01,ZNZ,,,,
아동기,NS01,ZNZ,,,,
아동학,NS02,ZNZ,,,,
아세트산,NS02,ZNZ,,,,
아이시,NS01,ZNZ,,,,
아이에스디엔,NS02,ZNZ,,,,
안주인,NS02,ZNZ,,,,
알뜰,NS03,ZNZ,,,,
알루미나,NS01,ZNZ,,,,
암벽화,NS01,ZNZ,,,,
암암리,NS01,ZNZ,,,,
압,NS02,ZNZ,,,,
압전,NS02,ZNZ,,,,
압전체,NS01,ZNZ,,,,
앞길,NS03,ZNZ,,,,
앤드,NS01,ZNZ,,,,
앰프,NS01,ZNZ,,,,
약장,NS02,ZNZ,,,,
양측,NS02,ZNZ,,,,
어르신네,NS01,ZNZ,,,,
어름치,NS01,ZNZ,,,,
어혈,NS03,ZNZ,,,,
어획량,NS02,ZNZ,,,,
언사,NS01,ZNZ,,,,
업주,NS01,ZNZ,,,,
에미,NS01,ZNZ,,,,
에스아이,NS01,ZNZ,,,,
에이디,NS01,ZNZ,,,,
엑스선,NS02,ZNZ,,,,
엔고,NS01,ZNZ,,,,
